   1.00000000 -1667.80374424 
   2.00000000 -1667.81888647 
   3.00000000 -1667.82614496 
   4.00000000 -1667.82894719 
   5.00000000 -1667.82940979 
   6.00000000 -1667.82872934 
   7.00000000 -1667.82745908 
   8.00000000 -1667.82594763 
   9.00000000 -1667.82439698 
  10.00000000 -1667.82286968 
  11.00000000 -1667.82140440 
  12.00000000 -1667.82003143 
  13.00000000 -1667.81877192 
  14.00000000 -1667.81764965 
  15.00000000 -1667.81666282 
  16.00000000 -1667.81580713 
  17.00000000 -1667.81507057 
  18.00000000 -1667.81443881 
  19.00000000 -1667.81389888 
  20.00000000 -1667.81344485 
  21.00000000 -1667.81306132 
  22.00000000 -1667.81273925 
  23.00000000 -1667.81247043 
  24.00000000 -1667.81224695 
  25.00000000 -1667.81206126 
  26.00000000 -1667.81190605 
  27.00000000 -1667.81177532 
  28.00000000 -1667.81166451 
  29.00000000 -1667.81156981 
  30.00000000 -1667.81148853 
