   1.00000000 -3299.43292623 
   2.00000000 -3299.44322888 
   3.00000000 -3299.44931664 
   4.00000000 -3299.45252983 
   5.00000000 -3299.45395868 
   6.00000000 -3299.45423965 
   7.00000000 -3299.45395200 
   8.00000000 -3299.45337069 
   9.00000000 -3299.45267033 
  10.00000000 -3299.45194633 
  11.00000000 -3299.45124804 
  12.00000000 -3299.45059662 
  13.00000000 -3299.45003095 
  14.00000000 -3299.44953276 
  15.00000000 -3299.44911347 
  16.00000000 -3299.44876358 
  17.00000000 -3299.44847417 
  18.00000000 -3299.44824243 
  19.00000000 -3299.44805289 
  20.00000000 -3299.44789297 
  21.00000000 -3299.44778927 
  22.00000000 -3299.44767857 
  23.00000000 -3299.44761512 
  24.00000000 -3299.44753370 
  25.00000000 -3299.44751050 
  26.00000000 -3299.44738997 
  27.00000000 -3299.44759785 
  28.00000000 -3299.44738770 
  29.00000000 -3299.44736853 
  30.00000000 -3299.44733944 
