   1.00000000 -1367.06386006 
   2.00000000 -1367.07488398 
   3.00000000 -1367.08091641 
   4.00000000 -1367.08384284 
   5.00000000 -1367.08486308 
   6.00000000 -1367.08476827 
   7.00000000 -1367.08403593 
   8.00000000 -1367.08302776 
   9.00000000 -1367.08188812 
  10.00000000 -1367.08068956 
  11.00000000 -1367.07952779 
  12.00000000 -1367.07845032 
  13.00000000 -1367.07744982 
  14.00000000 -1367.07655392 
  15.00000000 -1367.07575723 
  16.00000000 -1367.07504718 
  17.00000000 -1367.07441365 
  18.00000000 -1367.07385987 
  19.00000000 -1367.07338540 
  20.00000000 -1367.07298784 
  21.00000000 -1367.07266179 
  22.00000000 -1367.07239843 
  23.00000000 -1367.07218986 
  24.00000000 -1367.07202530 
  25.00000000 -1367.07189401 
  26.00000000 -1367.07178798 
  27.00000000 -1367.07170109 
  28.00000000 -1367.07162856 
  29.00000000 -1367.07156696 
  30.00000000 -1367.07151403 
